name,caption,type,v_debug,v_00,v_01,v_02,v_03,v_04
stepMax,,hparam,,4,,,,
scale,,hparam,,5,,,,
centerX,,hparam,,2.5,,,,
centerY,,hparam,,-0.5,,,,
aspectRatio,,param,,3.,,,,
lengthUpperInit,,param,,5,,,,
lengthRatioInit,,param,1.,1.2,,,,
posMiddleUpper,,param,0.5,0.5,,,,
posMiddleLower,,param,0.5,0.7,,,,
ratioLeftInit,,param,0.5,0.3,,,,
ratioRightInit,,param,0.5,0.3,,,,
velocityInverse,,param,1.,1.3,,,,
A,Α,point,,1,,,,
B,Β,point,,1,,,,
G,Γ,point,,1,,,,
D,Δ,point,,1,,,,
E,Ε,point,,1,,,,
K,Κ,point,,1,,,,
L,Λ,point,,1,,,,
Z,Ζ,point,,1,,,,
H,Η,point,,1,,,,
Q,Θ,point,,1,,,,
M,Μ,point,,1,,,,
C,Ξ,point,,1,,,,
N,Ν,point,,1,,,,
AB,,line,,1,,,,
GD,,line,,0,2r,0,2r,0
DE,,line,,0,,2r,,0
KL,,line,,1,,,,
ZH,,line,,0,2r,0,,2r
HQ,,line,,0,,2r,0,2r
MC,,line,,1,,,,
MN,,line,,0,2r,0,2r,
NC,,line,,0,,2r,,
